키워드,언론사,게시일,뉴스제목,url
SKT USIM 정보유출,이데일리,2025-05-19 14:38:07,“2022년부터 잠입”…SKT 서버에 中 해커 ‘BPF도어’ 심었다,https://n.news.naver.com/mnews/article/018/0006018279?sid=105
SKT USIM 정보유출,아이뉴스24,2025-05-22 11:40:06,"""국내서 알아주는 '화이트해커 집단', SKT 망 자체 진단 중""",https://n.news.naver.com/mnews/article/031/0000934388?sid=105
SKT USIM 정보유출,아이뉴스24,2025-05-19 17:01:08,"과방위 ""SKT 사태, 누군가는 책임져야""⋯유상임 장관 사퇴 촉구",https://n.news.naver.com/mnews/article/031/0000933480?sid=105
SKT USIM 정보유출,전자신문,2025-05-19 19:04:19,"민주당·혁신당 “SKT 유심 해킹 사태, 끝까지 해결”",https://n.news.naver.com/mnews/article/030/0003313862?sid=105
SKT USIM 정보유출,중앙일보,2025-05-11 16:09:51,"'유심 재설정' 꺼낸 SKT, 오늘부터 시행…이것부터 먼저 하라 [팩플]",https://n.news.naver.com/mnews/article/025/0003439979?sid=105
SKT USIM 정보유출,조선비즈,2025-05-11 10:13:08,"SKT, 유심 재설정 솔루션 12일 도입… “가입자 정보 바꿔 ‘복제 범죄’ 차단”",https://n.news.naver.com/mnews/article/366/0001076115?sid=105
SKT USIM 정보유출,아이뉴스24,2025-05-11 10:01:07,"""유심 교체 없어도 복제 차단""⋯SKT, 유심 재설정 솔루션 도입",https://n.news.naver.com/mnews/article/031/0000931143?sid=105
SKT USIM 정보유출,머니투데이,2025-05-11 11:38:18,"SKT 6월까지 유심 1077만장 추가 확보, 유심사태 조기 진화 가시권에",https://n.news.naver.com/mnews/article/008/0005192228?sid=105
SKT USIM 정보유출,디지털데일리,2025-05-11 10:01:08,"SKT, '유심 교체' 대신 '유심 재설정' 도입…""티머니·금융인증서 교체 필요 X""",https://n.news.naver.com/mnews/article/138/0002196261?sid=105
SKT USIM 정보유출,헤럴드경제,2025-05-13 15:42:16,SKT 해킹 피해자 대상 ‘소비자원 사칭’ 피싱 기승,https://n.news.naver.com/mnews/article/016/0002470548?sid=101
SKT USIM 정보유출,한겨레,2025-05-19 17:22:10,SKT 3년 전부터 해킹당해…이용자들 “더는 못 믿어” 불안 증폭,https://n.news.naver.com/mnews/article/028/0002746605?sid=102
SKT USIM 보안사고,이데일리,2025-05-13 14:39:14,SKT “유심교체 6월말 완료 목표...취약계층 찾아가는 서비스 준비”,https://n.news.naver.com/mnews/article/018/0006012481?sid=105
SKT USIM 보안사고,아이뉴스24,2025-05-21 17:19:10,"이통3사 만난 방통위원장 ""SKT 침해사고 활용한 마케팅 자제해야""",https://n.news.naver.com/mnews/article/031/0000934183?sid=105
SKT USIM 보안사고,연합뉴스,2025-05-07 10:34:11,"최태원 ""SKT 해킹사태 뼈아프게 반성…문제 해결에 최선""(종합)",https://n.news.naver.com/mnews/article/001/0015372570?sid=101
SKT USIM 보안사고,SBS,2025-05-07 10:05:58,"최태원 ""SKT 해킹 사태 뼈아프게 반성…문제 해결에 최선""",https://n.news.naver.com/mnews/article/055/0001255666?sid=102
SKT USIM 보안사고,KBS,2025-05-07 11:26:45,"최태원, SKT 해킹 사태 대국민 사과…“뼈아프게 반성, 고객 불편 컸다” [현장영상]",https://n.news.naver.com/mnews/article/056/0011946220?sid=121
SKT USIM 보안사고,디지털데일리,2025-05-08 09:35:08,"SKT 혼란 틈탄 공격자들…에버스핀 ""악성앱·보이스피싱 기승""",https://n.news.naver.com/mnews/article/138/0002196053?sid=105
SKT USIM 보안사고,뉴시스,2025-05-08 14:11:00,"개인정보위 ""SKT 주요 시스템에 백신 안 깔려 있었다""",https://n.news.naver.com/mnews/article/003/0013229307?sid=105
SKT USIM 보안사고,블로터,2025-05-12 16:14:15,"SKT, AI 성장에 1Q 영업익 13.8% 증가…고객 신뢰회복 조치도 본격화",https://n.news.naver.com/mnews/article/293/0000067194?sid=105
SKT USIM 보안사고,이데일리,2025-05-12 11:59:12,"SKT, 1분기 영업익 13.8% 껑충…AI사업 수익화 궤도",https://n.news.naver.com/mnews/article/018/0006011505?sid=105
SKT USIM 보안사고,연합뉴스,2025-05-07 10:10:02,"[2보] 최태원 ""SKT 해킹 뼈아프게 반성…문제 해결에 최선""",https://n.news.naver.com/mnews/article/001/0015372448?sid=101
SKT USIM 보안사고,한국경제TV,2025-05-07 10:18:08,"고개 숙인 최태원…""SKT 해킹 뼈아프게 반성""",https://n.news.naver.com/mnews/article/215/0001208309?sid=004
SKT USIM 보안사고,뉴스1,2025-05-07 11:03:01,"[뉴스1 PICK]고개 숙인 최태원 회장 ""SKT 해킹 뼈아프게 반성""",https://n.news.naver.com/mnews/article/421/0008234502?sid=102
SKT USIM 보안사고,한국경제TV,2025-05-07 10:24:52,"최태원 ""SKT 해킹, 뼈아프게 반성…정보보호혁신위 구성""",https://n.news.naver.com/mnews/article/215/0001208314?sid=101
SKT USIM 보안사고,중앙일보,2025-05-18 15:17:58,[팩플] SKT ‘고객신뢰 위원회’ 출범...내일부터 경로당도 찾아간다,https://n.news.naver.com/mnews/article/025/0003441629?sid=105
SKT USIM 보안사고,이데일리,2025-05-06 10:09:12,"SKT, 유심보호서비스 가입 누적 2411만명…유심 교체 104만건",https://n.news.naver.com/mnews/article/018/0006006185?sid=105
SKT USIM 보안사고,중앙일보,2025-05-20 00:32:00,"[사설] 3년간 가입자 정보 털린 SKT, 이용자 불안 어디까지",https://n.news.naver.com/mnews/article/025/0003442020?sid=110
SKT USIM 보안사고,한겨레,2025-05-21 18:14:06,SKT 유심 교체 ‘온라인 예약’ 한달 내내 혼선…가입자 분통,https://n.news.naver.com/mnews/article/028/0002746993?sid=102
SKT USIM 보안사고,한국일보,2025-05-24 09:00:15,"통신사 등 사회기반시설 해킹 사고...일본은 ""자위대 동원 법률 개정 추진""",https://n.news.naver.com/mnews/article/469/0000866520?sid=105
SKT USIM 보안사고,이데일리,2025-05-15 11:33:10,"SKT 유심 교체, 주말부터 속도 낸다..100만장 입고",https://n.news.naver.com/mnews/article/018/0006014540?sid=105
SKT USIM 보안사고,뉴시스,2025-05-01 09:29:46,"권영세 ""'유심 해킹' SKT, 당장 문 닫아도 이상하지 않을 것""",https://n.news.naver.com/mnews/article/003/0013217314?sid=100
SKT USIM 보안사고,문화일보,2025-05-01 10:27:12,"권영세, 유심 해킹 SKT에 “당장 문 닫아도 이상하지 않아…주파수 맡기겠냐”",https://n.news.naver.com/mnews/article/021/0002706849?sid=100
SKT USIM 보안사고,한겨레,2025-05-01 10:58:14,"권영세 “SKT, 해킹 대응 최악…문 닫아도 안 이상해”",https://n.news.naver.com/mnews/article/028/0002743731?sid=100
SKT USIM 보안사고,KBS,2025-05-01 09:32:39,국민의힘 “SKT 유심사태 최악…전 고객 유심 택배 배송 조치해야”,https://n.news.naver.com/mnews/article/056/0011943118?sid=100
SKT USIM 보안사고,아이뉴스24,2025-05-01 14:17:11,"권영세 ""SKT 유심 사고대응 최악…문 닫아도 이상하지 않아""",https://n.news.naver.com/mnews/article/031/0000929145?sid=100
SKT USIM 보안사고,디지털데일리,2025-05-25 08:54:09,"""SKT 해킹, 남의 일 아냐""…필리핀 대표 통신사의 경고",https://n.news.naver.com/mnews/article/138/0002197281?sid=105
SKT USIM 보안사고,파이낸셜뉴스,2025-05-21 16:14:13,[이구순의 느린걸음] 1·25 인터넷 대란과 SKT 유심 해킹...20년의 평행이론,https://n.news.naver.com/mnews/article/014/0005352789?sid=105
SKT USIM 보안사고,서울경제,2025-05-09 07:06:17,‘갤엣지 출시’ 대목까지 놓친 SKT…“KT에 점유율 역전될지도”,https://n.news.naver.com/mnews/article/011/0004483167?sid=105
SKT USIM 보안사고,아이뉴스24,2025-05-09 13:59:07,"유상임 ""위약금 면제, SKT 사운이 걸린 문제⋯합동조사단 결과까지 봐야""",https://n.news.naver.com/mnews/article/031/0000930877?sid=105
SKT USIM 유출,이데일리,2025-05-23 17:16:12,SKT 유심 해킹發 집단소송 20만명 육박...“실익은 제한적”,https://n.news.naver.com/mnews/article/018/0006021957?sid=105
SKT USIM 유출,아시아경제,2025-05-20 06:41:00,[증권신고서 읽는 기자]SKT 해킹에 주가 오르자 유증 나선 엑스큐어,https://n.news.naver.com/mnews/article/277/0005595071?sid=101
에스케이 유심 해킹,한겨레,2025-05-11 13:06:09,유심 부족에 SKT ‘유심 재설정’ 기술 도입…“교체와 동일 효과”,https://n.news.naver.com/mnews/article/028/0002745220?sid=101
에스케이 유심 해킹,한겨레,2025-05-07 13:52:09,입법조사처 “SKT 해킹 기업·정부 대처 한계”…정보통신망법 개정 요구,https://n.news.naver.com/mnews/article/028/0002744576?sid=101
에스케이 유심 해킹,한겨레,2025-05-07 19:42:33,고개 숙인 최태원…위약금 면제엔 “이사회 멤버 아니다” 회피,https://n.news.naver.com/mnews/article/028/0002744677?sid=101
에스케이 유심 해킹,한겨레,2025-05-12 11:04:10,SKT “로밍도 유심보호서비스”…국외 이용자도 자동 가입,https://n.news.naver.com/mnews/article/028/0002745363?sid=101
에스케이 유심 해킹,뉴스1,2025-05-07 10:32:51,"최태원 회장, SKT 유심 해킹 사태 브리핑",https://n.news.naver.com/mnews/article/421/0008234338?sid=105
에스케이 유심 해킹,뉴스1,2025-05-07 10:32:53,"최태원 회장, 유심 해킹 사태 대국민 사과",https://n.news.naver.com/mnews/article/421/0008234340?sid=105
에스케이 유심 해킹,한겨레,2025-05-07 10:28:18,"최태원, SKT 해킹 사태 19일 만에 사과…“위약금 면제 논의 중”",https://n.news.naver.com/mnews/article/028/0002744536?sid=101
에스케이 유심 해킹,한겨레,2025-05-09 16:30:09,과기부 장관 “SKT도 해킹 피해자”라는데…위약금 면제 가능할까,https://n.news.naver.com/mnews/article/028/0002745059?sid=101
에스케이 유심 해킹,한겨레,2025-05-04 22:42:09,“SKT 전산망 마비에 해지도 못해”…‘번호이동 고의로 막나’ 분노,https://n.news.naver.com/mnews/article/028/0002744234?sid=101
에스케이 유심 해킹,한겨레,2025-05-01 19:16:22,"정부 “SKT, 유심 공급난 해소 때까지 신규 가입 중단하라”",https://n.news.naver.com/mnews/article/028/0002743847?sid=101
에스케이 유심 해킹,이데일리,2025-05-07 11:29:08,[포토]고개숙인 최태원,https://n.news.naver.com/mnews/article/018/0006006807?sid=105
에스케이 유심 해킹,한겨레,2025-05-19 15:26:24,SKT 정보 유출 사태에 알뜰폰 1000만명 시대 성큼,https://n.news.naver.com/mnews/article/028/0002746572?sid=105
에스케이 유심 해킹,오마이뉴스,2025-05-01 18:52:14,"과기정통부 ""SKT, 유심 공급 안정화까지 신규모집 전면 중단하라""",https://n.news.naver.com/mnews/article/047/0002471821?sid=101
에스케이 유심 해킹,한겨레,2025-05-09 18:10:33,"경찰, ‘SKT 해킹 사고’ 유영상 대표 수사 착수…“배임 등 혐의”",https://n.news.naver.com/mnews/article/028/0002745080?sid=102
에스케이 유심 해킹,한겨레,2025-05-06 19:12:16,‘찬성률 100%’ 이사회 뒤에 숨는 SKT [한겨레 프리즘],https://n.news.naver.com/mnews/article/028/0002744476?sid=110
에스케이 유심 해킹,한겨레21,2025-05-03 07:50:17,통신사 역사상 최악의 해킹,https://n.news.naver.com/mnews/article/036/0000051574?sid=102
에스케이 유심 해킹,오마이뉴스,2025-05-07 10:44:10,[오마이포토] 'SK텔레콤 해킹 사태'에 고개 숙인 최태원 회장,https://n.news.naver.com/mnews/article/047/0002472295?sid=102
에스케이 유심 해킹,한겨레,2025-05-04 22:38:07,SKT ‘위약금 면제’ 머뭇대지만…입법조사처 “법적문제 없다”,https://n.news.naver.com/mnews/article/028/0002744233?sid=101
에스케이 유심 해킹,한겨레,2025-05-04 18:02:11,"[사설] SKT, 1위 책임 다하려면 위약금 면제 적극 검토해야",https://n.news.naver.com/mnews/article/028/0002744207?sid=110
에스케이 유심 해킹,한겨레,2025-05-05 19:04:12,"신규가입 막힌 ‘부동의 1위’ SKT, 40%대 점유율 내려놓나",https://n.news.naver.com/mnews/article/028/0002744350?sid=101
에스케이 유심 해킹,한겨레,2025-05-13 18:02:13,‘유심 해킹’ SKT 수천억대 손실 추정…목표주가 잇따라 하향,https://n.news.naver.com/mnews/article/028/0002745666?sid=101
에스케이 유심 해킹,한겨레,2025-05-02 10:18:15,SK텔레콤 “5일부터 신규 가입자 모집 중단”,https://n.news.naver.com/mnews/article/028/0002743940?sid=101
에스케이 유심 해킹,한겨레,2025-04-30 11:18:13,경찰 ‘SKT 유심 해킹’ 본격 수사…22명 전담수사팀 편성,https://n.news.naver.com/mnews/article/028/0002743506?sid=102
에스케이 유심 해킹,한겨레,2025-04-29 14:50:07,"국힘, ‘SKT 유심 해킹 TF’ 구성…“명확한 책임 물을 것”",https://n.news.naver.com/mnews/article/028/0002743357?sid=100
에스케이 유심 해킹,한겨레,2025-04-28 22:10:08,SKT 대리점마다 오픈런 대란…유심교체 온라인 예약도 폭주,https://n.news.naver.com/mnews/article/028/0002743241?sid=105
