키워드,언론사,게시일,뉴스제목,url
GS 보안사고,한국경제,2025-01-08 15:08:18,계엄 탄핵 나비효과?…기업 홈페이지 해킹에 숭숭 뚫린다 [강경주의 IT카페],https://n.news.naver.com/mnews/article/015/0005079644?sid=105
GS 보안사고,디지털데일리,2025-01-07 17:18:07,[DD퇴근길] 엔비디아 'RTX 50 시리즈' 공개…'온누리상품권' 운영사 교체 난항,https://n.news.naver.com/mnews/article/138/0002189024?sid=105
GS 보안사고,전자신문,2025-01-06 19:01:09,[2025년 딥테크 강소기업 탐방]〈1〉스피어에이엑스,https://n.news.naver.com/mnews/article/030/0003273567?sid=105
GS 개인정보,헤럴드경제,2025-03-26 11:15:09,"GS엠비즈, 전자금융업 라이선스 취득",https://n.news.naver.com/mnews/article/016/0002447830?sid=101
GS 개인정보,지디넷코리아,2025-03-13 16:44:11,"편의점서 잘 안나가는 제품, GS네오텍 AI 기술로 잡아 낸다…어떻게?",https://n.news.naver.com/mnews/article/092/0002366584?sid=105
GS 개인정보,이코노미스트,2025-03-13 11:05:11,"GS네오텍, ‘밴티크 GenAI 서밋 코리아’서 AI 방문객 분석 솔루션 공개",https://n.news.naver.com/mnews/article/243/0000074282?sid=101
GS 개인정보,이데일리,2025-03-13 15:33:12,"GS네오텍, 밴티크 AI행사에서 'AI 방문객 분석 솔루션' 공개",https://n.news.naver.com/mnews/article/018/0005962069?sid=105
GS 개인정보,스포츠경향,2025-03-14 00:24:18,"GS네오텍, ‘밴티크 GenAI 서밋 코리아’ 참가",https://n.news.naver.com/mnews/article/144/0001025189?sid=105
GS 개인정보,머니투데이,2025-04-04 14:18:16,"티사이언티픽, 파트너스 데이 성료…""사업 확장 속도""",https://n.news.naver.com/mnews/article/008/0005176002?sid=101
GS 개인정보,더팩트,2025-01-09 00:01:51,개인정보 유출에 결제 오류까지…GS리테일 허서홍 리더십 '삐끗',https://n.news.naver.com/mnews/article/629/0000354930?sid=101
GS 개인정보,SBS,2025-01-06 21:16:59,GS리테일 고객 9만 명 개인정보 유출…해킹 공격,https://n.news.naver.com/mnews/article/055/0001221247?sid=101
GS 개인정보,SBS Biz,2025-01-08 11:50:22,"[단독] GS리테일, 고객정보 구멍에 3년연속 제재…보안 투자는 축소",https://n.news.naver.com/mnews/article/374/0000419617?sid=101
GS 개인정보,헤럴드경제,2025-01-06 14:12:19,GS리테일 홈페이지 해킹 공격…고객 개인정보 유출,https://n.news.naver.com/mnews/article/016/0002411936?sid=101
GS 개인정보,지디넷코리아,2025-02-18 15:42:20,"인피닉, '해양환경공단' 개인정보 비식별화 서비스 공급",https://n.news.naver.com/mnews/article/092/0002363638?sid=105
GS 개인정보,파이낸셜뉴스,2025-02-18 09:25:11,"인피닉, 해양환경공단에 개인정보 비식별화 서비스 공급",https://n.news.naver.com/mnews/article/014/0005309768?sid=105
GS 개인정보,뉴스1,2025-03-26 18:13:41,제4인뱅 접수 마무리…독주 체제 '한국소호은행' 지분 면면보니,https://n.news.naver.com/mnews/article/421/0008155170?sid=101
GS 개인정보,아시아경제,2025-04-04 13:31:22,"티사이언티픽, 파트너스 데이 성료…“사업 확장 속도”",https://n.news.naver.com/mnews/article/277/0005573157?sid=101
GS리테일 해킹,부산일보,2025-01-06 14:16:18,GS리테일 해킹 피해..고객 9만 명 개인정보 유출,https://n.news.naver.com/mnews/article/082/0001306235?sid=101
GS리테일 해킹,연합뉴스,2025-01-06 13:40:32,GS리테일 웹사이트 해킹 공격…주소·전화번호 등 개인정보 유출,https://n.news.naver.com/mnews/article/001/0015144031?sid=101
GS리테일 해킹,중앙일보,2025-01-06 14:56:39,"GS리테일, 해킹 공격에 고객 9만명 개인정보 유출",https://n.news.naver.com/mnews/article/025/0003412891?sid=102
GS리테일 해킹,노컷뉴스,2025-02-27 11:05:07,"GS리테일, 고객정보 158만건 추가 유출 정황 확인",https://n.news.naver.com/mnews/article/079/0003996647?sid=101
GS리테일 해킹,연합뉴스,2025-02-27 10:16:00,"GS리테일, 홈쇼핑 고객정보 158만건 유출 정황 추가 확인",https://n.news.naver.com/mnews/article/001/0015236671?sid=101
GS리테일 해킹,데일리안,2025-02-27 10:21:10,"GS리테일, 편의점 이어 홈쇼핑도 개인정보 유출…""재발 방지 최선""",https://n.news.naver.com/mnews/article/119/0002927814?sid=101
GS리테일 해킹,부산일보,2025-02-27 17:39:13,GS홈쇼핑서 개인정보 158만 건 유출… 이름·주소·통관번호 등 10개 항목 [이슈네컷],https://n.news.naver.com/mnews/article/082/0001313814?sid=102
GS리테일 해킹,지디넷코리아,2025-01-06 14:56:13,"GS25 사이트 가입자 정보 해킹...""약 9만명 정보 유출""",https://n.news.naver.com/mnews/article/092/0002358741?sid=105
GS리테일 해킹,경향신문,2025-04-02 14:26:12,비밀번호 없어도 로그인한다…국내서도 확산하는 ‘패스키’,https://n.news.naver.com/mnews/article/032/0003360718?sid=101
GS리테일 해킹,전자신문,2025-01-07 16:31:19,"[단독] GS25 결제시스템 오류…점주 단체, 본사에 “보상하라”",https://n.news.naver.com/mnews/article/030/0003273963?sid=101
GS리테일 해킹,파이낸셜뉴스,2025-01-07 16:18:15,"'동일범의 소행인가'..새해, 식품유통업계 '램섬웨어' 비상",https://n.news.naver.com/mnews/article/014/0005292262?sid=101
GS리테일 정보유출,일간스포츠,2025-02-27 14:11:46,"GS샵, 고객 정보 158만건 추가 유출…""재발 방지 최선""",https://n.news.naver.com/mnews/article/241/0003416344?sid=101
GS리테일 정보유출,한국경제TV,2025-02-27 10:38:41,편의점 털린지 한달만…GS샵 개인정보 158만건 유출,https://n.news.naver.com/mnews/article/215/0001200053?sid=101
GS리테일 정보유출,뉴시스,2025-01-06 15:23:08,"'해킹으로 고객 9만명 개인정보 유출' GS리테일 ""깊이 사과, 보안 강화""",https://n.news.naver.com/mnews/article/003/0013000535?sid=101
GS리테일 정보유출,매일경제,2025-01-06 15:36:10,“여기 편의점 단골이었는데”…해킹 공격에 9만명 정보 유출된 GS리테일,https://n.news.naver.com/mnews/article/009/0005424457?sid=103
GS리테일 정보유출,아이뉴스24,2025-01-06 15:13:08,"""또 개인정보 유출사고""⋯GS리테일 고객 9만명분",https://n.news.naver.com/mnews/article/031/0000898958?sid=101
